,BTCUSDT,ETHUSDT
0,19912.165000000037,1117.5650000000019
1,19895.28500000005,1115.8050000000017
2,19878.27500000003,1115.3950000000023
3,19882.64500000004,1115.5550000000017
4,19854.255000000037,1114.3750000000018
5,19910.74500000005,1118.665000000002
6,19880.355000000032,1116.365000000002
7,19879.415000000026,1116.0050000000015
8,19877.475000000024,1115.2250000000017
9,19898.81500000003,1116.5850000000019
10,19902.36500000004,1116.5050000000006
11,19883.985000000037,1114.7950000000014
12,19902.62500000005,1116.6750000000006
13,19877.09500000003,1114.4550000000024
14,19858.93500000002,1112.595000000001
15,19853.095000000023,1112.8350000000005
16,19881.39500000002,1114.3550000000012
17,19862.08500000002,1113.2350000000015
18,19869.005000000026,1114.275000000001
19,19824.15500000005,1112.0950000000007
20,19826.004999999997,1112.955
21,19812.505000000005,1112.845
22,19851.91500000001,1115.5549999999998
23,19856.934999999998,1115.6950000000002
24,19890.434999999998,1118.0349999999999
25,19889.845000000023,1117.3049999999998
26,19906.455,1118.085
27,19903.355000000003,1117.9350000000004
28,19947.075000000004,1121.2050000000004
29,19929.695,1119.995
30,19922.885000000002,1120.0250000000005
31,19926.975,1120.1950000000006
32,19908.975000000013,1119.2050000000004
33,19919.985000000022,1120.085000000001
34,19908.235000000008,1119.095
35,19890.235000000008,1118.7650000000003
36,19899.165000000015,1119.6550000000002
37,19921.685000000085,1121.3850000000002
38,19920.645000000026,1121.455
39,19920.004999999997,1122.145
40,19896.585000000014,1118.6950000000002
41,19898.365000000005,1119.0949999999998
42,19857.025000000016,1113.8449999999998
43,19859.34500000004,1114.755
44,19866.10500000006,1114.9950000000008
45,19859.125000000055,1114.2200000000007
46,19873.435000000027,1115.075
47,19869.035000000033,1115.0749999999998
48,19873.51500000002,1115.8850000000002
49,19871.775000000016,1115.725
50,19871.015000000025,1115.705
51,19851.645000000026,1114.1750000000002
52,19842.435000000005,1114.105
53,19848.525000000012,1114.9450000000002
54,19855.655000000006,1115.17
55,19868.135000000002,1117.7600000000007
56,19855.72500000001,1117.3050000000003
57,19863.375000000007,1118.1050000000014
58,19862.165000000008,1117.9650000000015
59,19868.215000000004,1118.715000000001
60,19853.695000000003,1117.6950000000002
61,19850.005000000005,1117.2350000000001
62,19857.345000000005,1118.355
63,19850.934999999998,1118.5549999999998
64,19876.275,1120.6550000000002
65,19882.385000000002,1120.725
66,19879.255000000012,1120.5149999999999
67,19874.985,1119.915
68,19860.605,1119.0450000000005
69,19839.885000000002,1117.8950000000002
70,19838.81500000001,1117.8550000000005
71,19853.96500000001,1119.165
72,19851.01500000002,1117.995
73,19880.33500000002,1119.9550000000004
74,19898.27500000001,1121.3150000000005
75,19889.875000000007,1120.795000000001
76,19886.99500000001,1120.4950000000003
77,19888.015000000014,1120.4650000000006
78,19874.165000000008,1119.4450000000006
79,19856.14500000003,1117.695000000001
80,19823.68500000004,1116.7950000000005
81,19796.59500000003,1115.0050000000006
82,19807.06500000003,1116.5150000000012
83,19839.165000000023,1119.4850000000017
84,19873.755000000034,1121.6850000000013
85,19875.44500000003,1121.7550000000015
86,19858.35500000005,1120.2650000000003
87,19835.685000000045,1117.5950000000016
88,19835.065000000046,1117.025000000001
89,19826.79500000005,1116.8050000000017
90,19830.62500000003,1116.8250000000016
91,19833.275000000045,1117.3250000000025
92,19849.43500000002,1118.6350000000025
93,19867.61500000002,1120.055000000001
94,19863.395000000037,1120.0950000000014
95,19859.85500000003,1119.595000000002
96,19860.555000000037,1119.505000000002
97,19867.695000000032,1119.6750000000018
98,19859.875000000036,1119.335000000001
99,19882.59500000003,1121.3050000000012
100,19887.70500000004,1121.5350000000012
101,19909.10500000004,1123.5750000000019
102,19901.985000000008,1122.6550000000016
103,19895.555000000015,1122.8050000000014
104,19917.315000000035,1124.935
105,19909.865000000013,1123.5050000000012
106,19889.035000000018,1122.485000000002
107,19888.645000000015,1122.7850000000017
108,19898.225000000006,1123.4550000000004
109,19892.005000000005,1123.2650000000006
110,19893.71500000002,1123.2550000000006
111,19882.735000000015,1122.8050000000012
112,19884.57500000002,1123.3850000000002
113,19897.865000000005,1124.615
114,19896.555,1124.245
115,19896.255000000005,1124.095
116,19873.585000000006,1122.4050000000002
117,19873.995000000003,1122.765
118,19881.395000000004,1123.9250000000002
119,19912.265,1127.085
